@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
162,'2020/11/01 23:13:59:595',4,0.523333,0.53,0.541667,0.4925,0.565,0.47,0.578333,0.4725,0.591667,0.4675,0.613333,0.485,0.63,0.525,0.618333,0.5225,0.591667,0.495,0.578333,0.495,0.565,0.4975,0.533333,0.53,0.63,0.525,0.615,0.565,0.596667,0.5825,0.58,0.585,0.565,0.585,0.543333,0.57,0.523333,0.53,0.533333,0.53,0.565,0.5475,0.578333,0.5475,0.593333,0.545,0.618333,0.5225,0.01716,0.069547,0.196048
163,'2020/11/01 23:13:59:692',4,0.523333,0.5275,0.541667,0.49,0.563333,0.465,0.578333,0.4675,0.591667,0.4625,0.613333,0.4825,0.628333,0.52,0.618333,0.52,0.591667,0.495,0.578333,0.495,0.565,0.4975,0.535,0.5275,0.628333,0.52,0.615,0.56,0.596667,0.575,0.58,0.58,0.563333,0.5775,0.541667,0.565,0.523333,0.5275,0.535,0.5275,0.565,0.535,0.578333,0.5375,0.593333,0.535,0.618333,0.52,0.01716,0.069547,0.196048
164,'2020/11/01 23:13:59:794',4,0.523333,0.5275,0.541667,0.49,0.563333,0.465,0.578333,0.4675,0.591667,0.4625,0.613333,0.4825,0.628333,0.52,0.618333,0.52,0.591667,0.495,0.578333,0.495,0.565,0.4975,0.535,0.5275,0.628333,0.52,0.615,0.56,0.596667,0.575,0.58,0.58,0.563333,0.5775,0.541667,0.565,0.523333,0.5275,0.535,0.5275,0.565,0.535,0.578333,0.5375,0.593333,0.535,0.618333,0.52,0.01716,0.069547,0.196048
165,'2020/11/01 23:13:59:895',4,0.523333,0.5275,0.541667,0.49,0.563333,0.465,0.578333,0.4675,0.591667,0.4625,0.613333,0.4825,0.628333,0.52,0.618333,0.52,0.591667,0.495,0.578333,0.495,0.565,0.4975,0.535,0.5275,0.628333,0.52,0.615,0.56,0.596667,0.575,0.58,0.58,0.563333,0.5775,0.541667,0.565,0.523333,0.5275,0.535,0.5275,0.565,0.535,0.578333,0.5375,0.593333,0.535,0.618333,0.52,0.01716,0.069547,0.196048
166,'2020/11/01 23:13:59:995',4,0.525,0.53,0.541667,0.4875,0.563333,0.4625,0.578333,0.4675,0.591667,0.46,0.613333,0.4825,0.628333,0.5225,0.618333,0.52,0.591667,0.495,0.578333,0.495,0.563333,0.4975,0.535,0.5275,0.628333,0.5225,0.615,0.5625,0.596667,0.58,0.58,0.5825,0.561667,0.58,0.541667,0.5675,0.525,0.53,0.535,0.5275,0.563333,0.535,0.578333,0.5375,0.593333,0.5375,0.618333,0.52,0.01716,0.069547,0.196048
167,'2020/11/01 23:14:00:094',4,0.525,0.53,0.541667,0.4875,0.563333,0.4625,0.578333,0.4675,0.591667,0.46,0.613333,0.4825,0.628333,0.5225,0.618333,0.52,0.591667,0.495,0.578333,0.495,0.563333,0.4975,0.535,0.5275,0.628333,0.5225,0.615,0.5625,0.596667,0.58,0.58,0.5825,0.561667,0.58,0.541667,0.5675,0.525,0.53,0.535,0.5275,0.563333,0.535,0.578333,0.5375,0.593333,0.5375,0.618333,0.52,0.01716,0.069547,0.196048
168,'2020/11/01 23:14:00:194',4,0.525,0.53,0.541667,0.4875,0.563333,0.4625,0.578333,0.4675,0.591667,0.46,0.613333,0.4825,0.628333,0.5225,0.618333,0.52,0.591667,0.495,0.578333,0.495,0.563333,0.4975,0.535,0.5275,0.628333,0.5225,0.615,0.5625,0.596667,0.58,0.58,0.5825,0.561667,0.58,0.541667,0.5675,0.525,0.53,0.535,0.5275,0.563333,0.535,0.578333,0.5375,0.593333,0.5375,0.618333,0.52,0.01716,0.069547,0.196048
169,'2020/11/01 23:14:00:295',4,0.523333,0.5275,0.541667,0.4875,0.563333,0.4625,0.578333,0.465,0.591667,0.4575,0.613333,0.48,0.628333,0.5175,0.618333,0.5175,0.591667,0.49,0.578333,0.49,0.565,0.4925,0.535,0.5275,0.628333,0.5175,0.616667,0.5625,0.596667,0.5825,0.581667,0.585,0.565,0.585,0.541667,0.57,0.523333,0.5275,0.535,0.5275,0.565,0.545,0.58,0.5475,0.593333,0.5425,0.618333,0.5175,0.01716,0.069547,0.196048
170,'2020/11/01 23:14:05:596',5,0.503333,0.6675,0.535,0.645,0.57,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.67,0.63,0.71,0.621667,0.705,0.605,0.6675,0.585,0.6675,0.565,0.66,0.513333,0.6725,0.63,0.71,0.615,0.7475,0.595,0.765,0.573333,0.765,0.553333,0.7575,0.523333,0.73,0.503333,0.6675,0.513333,0.6725,0.56,0.7275,0.58,0.735,0.6,0.735,0.621667,0.705,0.111087,0.36831,0.839951
171,'2020/11/01 23:14:05:696',5,0.503333,0.6675,0.535,0.645,0.57,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.67,0.63,0.71,0.621667,0.705,0.605,0.6675,0.585,0.6675,0.565,0.66,0.513333,0.6725,0.63,0.71,0.615,0.7475,0.595,0.765,0.573333,0.765,0.553333,0.7575,0.523333,0.73,0.503333,0.6675,0.513333,0.6725,0.56,0.7275,0.58,0.735,0.6,0.735,0.621667,0.705,0.111087,0.36831,0.839951
172,'2020/11/01 23:14:05:794',5,0.503333,0.6675,0.535,0.645,0.57,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.67,0.63,0.71,0.621667,0.705,0.605,0.6675,0.585,0.6675,0.565,0.66,0.513333,0.6725,0.63,0.71,0.615,0.7475,0.595,0.765,0.573333,0.765,0.553333,0.7575,0.523333,0.73,0.503333,0.6675,0.513333,0.6725,0.56,0.7275,0.58,0.735,0.6,0.735,0.621667,0.705,0.111087,0.36831,0.839951
173,'2020/11/01 23:14:05:896',5,0.506667,0.6725,0.535,0.645,0.57,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.67,0.63,0.715,0.621667,0.7075,0.605,0.6675,0.585,0.6675,0.565,0.66,0.513333,0.675,0.63,0.715,0.615,0.75,0.595,0.765,0.575,0.765,0.553333,0.7575,0.523333,0.73,0.506667,0.6725,0.513333,0.675,0.56,0.73,0.58,0.74,0.601667,0.74,0.621667,0.7075,0.111087,0.36831,0.839951
174,'2020/11/01 23:14:05:996',5,0.506667,0.6725,0.535,0.645,0.57,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.67,0.63,0.715,0.621667,0.7075,0.605,0.6675,0.585,0.6675,0.565,0.66,0.513333,0.675,0.63,0.715,0.615,0.75,0.595,0.765,0.575,0.765,0.553333,0.7575,0.523333,0.73,0.506667,0.6725,0.513333,0.675,0.56,0.73,0.58,0.74,0.601667,0.74,0.621667,0.7075,0.111087,0.36831,0.839951
175,'2020/11/01 23:14:06:095',5,0.503333,0.665,0.535,0.645,0.57,0.6425,0.586667,0.6525,0.606667,0.6525,0.623333,0.67,0.631667,0.71,0.621667,0.705,0.601667,0.6675,0.583333,0.6675,0.565,0.66,0.513333,0.67,0.631667,0.71,0.613333,0.75,0.591667,0.7675,0.571667,0.765,0.553333,0.7575,0.523333,0.73,0.503333,0.665,0.513333,0.67,0.56,0.7275,0.578333,0.735,0.598333,0.735,0.621667,0.705,0.111087,0.36831,0.839951
176,'2020/11/01 23:14:06:194',5,0.503333,0.665,0.535,0.645,0.57,0.6425,0.586667,0.6525,0.606667,0.6525,0.623333,0.67,0.631667,0.71,0.621667,0.705,0.601667,0.6675,0.583333,0.6675,0.565,0.66,0.513333,0.67,0.631667,0.71,0.613333,0.75,0.591667,0.7675,0.571667,0.765,0.553333,0.7575,0.523333,0.73,0.503333,0.665,0.513333,0.67,0.56,0.7275,0.578333,0.735,0.598333,0.735,0.621667,0.705,0.111087,0.36831,0.839951
177,'2020/11/01 23:14:06:293',5,0.503333,0.665,0.535,0.645,0.57,0.6425,0.586667,0.6525,0.606667,0.6525,0.623333,0.67,0.631667,0.71,0.621667,0.705,0.601667,0.6675,0.583333,0.6675,0.565,0.66,0.513333,0.67,0.631667,0.71,0.613333,0.75,0.591667,0.7675,0.571667,0.765,0.553333,0.7575,0.523333,0.73,0.503333,0.665,0.513333,0.67,0.56,0.7275,0.578333,0.735,0.598333,0.735,0.621667,0.705,0.111087,0.36831,0.839951
178,'2020/11/01 23:14:06:396',5,0.503333,0.6625,0.536667,0.645,0.571667,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.6675,0.633333,0.705,0.623333,0.7025,0.603333,0.665,0.585,0.665,0.566667,0.66,0.513333,0.67,0.633333,0.705,0.615,0.75,0.595,0.77,0.573333,0.77,0.555,0.7625,0.525,0.735,0.503333,0.6625,0.513333,0.67,0.561667,0.735,0.58,0.7425,0.6,0.7425,0.623333,0.7025,0.111087,0.36831,0.839951
179,'2020/11/01 23:14:06:496',5,0.503333,0.6625,0.536667,0.645,0.571667,0.6425,0.588333,0.6525,0.608333,0.6525,0.625,0.6675,0.633333,0.705,0.623333,0.7025,0.603333,0.665,0.585,0.665,0.566667,0.66,0.513333,0.67,0.633333,0.705,0.615,0.75,0.595,0.77,0.573333,0.77,0.555,0.7625,0.525,0.735,0.503333,0.6625,0.513333,0.67,0.561667,0.735,0.58,0.7425,0.6,0.7425,0.623333,0.7025,0.111087,0.36831,0.839951
180,'2020/11/01 23:14:06:595',5,0.501667,0.6725,0.531667,0.6475,0.568333,0.6425,0.586667,0.6525,0.606667,0.65,0.621667,0.6675,0.626667,0.7075,0.618333,0.705,0.603333,0.6675,0.583333,0.665,0.565,0.66,0.508333,0.6775,0.626667,0.7075,0.613333,0.755,0.595,0.7825,0.573333,0.785,0.551667,0.7775,0.52,0.7475,0.501667,0.6725,0.508333,0.6775,0.558333,0.7475,0.578333,0.7525,0.598333,0.75,0.618333,0.705,0.111087,0.36831,0.839951
181,'2020/11/01 23:14:06:695',5,0.501667,0.6725,0.531667,0.6475,0.568333,0.6425,0.586667,0.6525,0.606667,0.65,0.621667,0.6675,0.626667,0.7075,0.618333,0.705,0.603333,0.6675,0.583333,0.665,0.565,0.66,0.508333,0.6775,0.626667,0.7075,0.613333,0.755,0.595,0.7825,0.573333,0.785,0.551667,0.7775,0.52,0.7475,0.501667,0.6725,0.508333,0.6775,0.558333,0.7475,0.578333,0.7525,0.598333,0.75,0.618333,0.705,0.111087,0.36831,0.839951
182,'2020/11/01 23:14:06:796',5,0.501667,0.6725,0.531667,0.6475,0.568333,0.6425,0.586667,0.6525,0.606667,0.65,0.621667,0.6675,0.626667,0.7075,0.618333,0.705,0.603333,0.6675,0.583333,0.665,0.565,0.66,0.508333,0.6775,0.626667,0.7075,0.613333,0.755,0.595,0.7825,0.573333,0.785,0.551667,0.7775,0.52,0.7475,0.501667,0.6725,0.508333,0.6775,0.558333,0.7475,0.578333,0.7525,0.598333,0.75,0.618333,0.705,0.111087,0.36831,0.839951
183,'2020/11/01 23:14:06:894',5,0.498333,0.675,0.53,0.65,0.565,0.645,0.583333,0.655,0.601667,0.655,0.618333,0.6725,0.626667,0.7175,0.615,0.71,0.598333,0.67,0.58,0.6675,0.56,0.6625,0.508333,0.68,0.626667,0.7175,0.61,0.7525,0.59,0.77,0.57,0.7725,0.55,0.765,0.52,0.7375,0.498333,0.675,0.508333,0.68,0.556667,0.7375,0.575,0.7425,0.595,0.7425,0.615,0.71,0.111087,0.36831,0.839951
184,'2020/11/01 23:14:06:995',5,0.498333,0.675,0.53,0.65,0.565,0.645,0.583333,0.655,0.601667,0.655,0.618333,0.6725,0.626667,0.7175,0.615,0.71,0.598333,0.67,0.58,0.6675,0.56,0.6625,0.508333,0.68,0.626667,0.7175,0.61,0.7525,0.59,0.77,0.57,0.7725,0.55,0.765,0.52,0.7375,0.498333,0.675,0.508333,0.68,0.556667,0.7375,0.575,0.7425,0.595,0.7425,0.615,0.71,0.111087,0.36831,0.839951
